Verse_ID,OT_NT,Book,Book_Num,Chapter_Num,Verse_Num,Verse_Code,Verse,Characters,Former_Verse,Tests,Best_WPM,Verses_Match,similarity_ratio
18461,OT,Song2,24,7,9,Song2_7:9,"Groom: I said, I will ascend to the palm tree, and take hold of its fruit. And your breasts will be like clusters of grapes on the vine. And the fragrance of your mouth will be like apples.",189,"<I>Groom:</I> I said, I will ascend to the palm tree, and take hold of its fruit. And your breasts will be like clusters of grapes on the vine. And the fragrance of your mouth will be like apples.",0,0.0,0,98
18462,OT,Song2,24,7,10,Song2_7:10,"Bride: Your throat is like the finest wine: wine worthy for my beloved to drink, and for his lips and teeth to contemplate.",123,"<I>Bride:</I> Your throat is like the finest wine: wine worthy for my beloved to drink, and for his lips and teeth to contemplate.",0,0.0,0,97
18467,OT,Song2,24,8,1,Song2_8:1,"Bride to Groom: Who will give you to me as my brother, feeding from the breasts of my mother, so that I may discover you outside, and may kiss you, and so that now no one may despise me?",186,"<I>Bride to Groom:</I> Who will give you to me as my brother, feeding from the breasts of my mother, so that I may discover you outside, and may kiss you, and so that now no one may despise me?",0,0.0,0,98
18470,OT,Song2,24,8,4,Song2_8:4,"Groom to Chorus: I bind you by oath, O daughters of Jerusalem, not to disturb or awaken the beloved, until she wills.",117,"<I>Groom to Chorus:</I> I bind you by oath, O daughters of Jerusalem, not to disturb or awaken the beloved, until she wills.",0,0.0,0,97
18471,OT,Song2,24,8,5,Song2_8:5,"Chorus to Groom: Who is she, who ascends from the desert, flowing with delights, leaning upon her beloved?",106,"<I>Chorus to Groom:</I> Who is she, who ascends from the desert, flowing with delights, leaning upon her beloved?",0,0.0,0,97
18472,OT,Song2,24,8,6,Song2_8:6,"Groom to Bride: Under the apple tree, I awakened you. There your mother was corrupted. There she who bore you was violated.",123,"<I>Groom to Bride:</I> Under the apple tree, I awakened you. There your mother was corrupted. There she who bore you was violated.",0,0.0,0,97
18475,OT,Song2,24,8,9,Song2_8:9,Chorus: Our sister is little and has no breasts. What shall we do for our sister on the day when she is called upon?,116,<I>Chorus:</I> Our sister is little and has no breasts. What shall we do for our sister on the day when she is called upon?,0,0.0,0,97
18477,OT,Song2,24,8,11,Song2_8:11,"Bride to Chorus: I am a wall, and my breasts are like towers, since, in his presence, I have become like one who has discovered peace.",134,"<I>Bride to Chorus:</I> I am a wall, and my breasts are like towers, since, in his presence, I have become like one who has discovered peace.",0,0.0,0,97
18479,OT,Song2,24,8,13,Song2_8:13,"Groom: My vineyard is before me. The thousand is for your peacefulness, and two hundred is for those who care for its fruit.",124,"<I>Groom:</I> My vineyard is before me. The thousand is for your peacefulness, and two hundred is for those who care for its fruit.",0,0.0,0,97
18480,OT,Song2,24,8,14,Song2_8:14,Bride to Groom: Your friends are attentive to those who have been dwelling in the gardens. Cause me to heed your voice.,119,<I>Bride to Groom:</I> Your friends are attentive to those who have been dwelling in the gardens. Cause me to heed your voice.,0,0.0,0,97
18924,OT,Sirach,26,P,4,Sirach_P:4,For the Hebrew words are deficient when they have been translated into another language.,88,For the Hebrew words are deficient when they have been translated into another language. ,0,0.0,0,99
18963,OT,Sirach,26,1,34,Sirach_1:34,For the fear of the Lord is wisdom and discipline.,50,For the fear of the Lord is wisdom and discipline. ,0,0.0,0,99
19145,OT,Sirach,26,7,28,Sirach_7:28,"If a wife in accord with your soul is yours, you should not reject her. But do not entrust yourself to her who is hateful.",122,"If a wife in accord with your soul is yours, you should not reject her. But do not entrust yourself to her who is hateful. ",0,0.0,0,100
19587,OT,Sirach,26,22,26,Sirach_22:26,"But if you have drawn a sword against a friend, you should not despair; for there may be a way back.",100,"But if you have drawn a sword against a friend, you should not despair; for there may be a way back. ",0,0.0,0,100
19625,OT,Sirach,26,23,31,Sirach_23:31,"And because he did not understand the fear of the Lord, he will be in disgrace before all men,",94,"And because he did not understand the fear of the Lord, he will be in disgrace before all men, ",0,0.0,0,99
20591,OT,Isaiah,27,3,18,Isaiah_3:18,"In that day, the Lord will take away their decorative shoes,",60,"In that day, the Lord will take away their decorative shoes, ",0,0.0,0,99
20694,OT,Isaiah,27,8,21,Isaiah_8:21,"And he will pass by it; he will fall and become hungry. And when he is hungry, he will become angry, and he will speak evil against his king and his God, and he will lift himself upward.",186,"And he will pass by it; he will fall and become hungry. And when he is hungry, he will become angry, and he will speak evil against his king and his God, and he will lift himself upward. ",0,0.0,0,100
22802,OT,Jeremiah,28,39,13,Jeremiah_39:13,"Therefore, Nebuzaradan, the leader of the military, sent, and Nebushazban, the chief eunuch, and Nergal-Sharezer, the chief magi, and all the nobles of the king of Babylon sent,",177,"Therefore, Nebuzaradan, the leader of the military, sent, and Nebushazban, the chief eunuch, and Nergal-Sharezer, the chief magi, and all the nobles of the king of Babylon sent, ",0,0.0,0,100
23084,OT,Jeremiah,28,51,6,Jeremiah_51:6,"Flee from the midst of Babylon! And let each one save his own life. Do not be silent about her iniquity. For it is the time of revenge from the Lord. He himself will repay her, in her turn.",189,"Flee from the midst of Babylon! And let each one save his own life. Do not be silent about her iniquity. For it is the time of revenge from the Lord. He himself will repay her, in her turn. ",0,0.0,0,100
23177,OT,Lamentations,29,P,1,Lamentations_P:1,"And it happened that, after Israel was driven into captivity, and Jerusalem was deserted,",89,"And it happened that, after Israel was driven into captivity, and Jerusalem was deserted, ",0,0.0,0,99
23931,OT,Ezekiel,31,18,1,Ezekiel_18:1,"And the word of the Lord came to me, saying:",44,"And the word of the Lord came to me, saying: ",0,0.0,0,99
26115,OT,Haggai,42,2,5,Haggai_2:5,"And now be strengthened, Zerubbabel, says the Lord. And be strengthened, Jesus the son of Jehozadak, the high priest. And be strengthened, all people of the land, says the Lord of hosts. For I am with you, says the Lord of hosts.",229,"And now be strengthened, Zerubbabel, says the Lord. And be strengthened, Jesus the son of Jehozadak, the high priest. And be strengthened, all people of the land, says the Lord of hosts. For I am with you, says the Lord of hosts. ",0,0.0,0,100
28912,NT,Matthew,47,27,41,Matthew_27:41,"And similarly, the leaders of the priests, with the scribes and the elders, mocking him, said:",94,"And similarly, the leaders of the priests, with the scribes and the elders, mocking him, said: ",0,0.0,0,99
32398,NT,Acts,51,20,33,Acts_20:33,"I have coveted neither silver and gold, nor apparel,",52,"I have coveted neither silver and gold, nor apparel, ",0,0.0,0,99
33501,NT,1-Corinthians,53,15,44,1-Corinthians_15:44,"What is sown with an animal body shall rise with a spiritual body. If there is an animal body, there is also a spiritual one.",125,"What is sown with an animal body shall rise with a spiritual body. If there is an animal body, there is also a spiritual one. ",0,0.0,0,100
33624,NT,2-Corinthians,54,5,8,2-Corinthians_5:8,"So we are confident, and we have the good will to be on a pilgrimage in the body, so as to be present to the Lord.",114,"So we are confident, and we have the good will to be on a pilgrimage in the body, so as to be present to the Lord. ",0,0.0,0,100
33953,NT,Ephesians,56,1,9,Ephesians_1:9,"So does he make known to us the mystery of his will, which he has set forth in Christ, in a manner well-pleasing to him,",120,"So does he make known to us the mystery of his will, which he has set forth in Christ, in a manner well-pleasing to him, ",0,0.0,0,100
34407,NT,2-Thessalonians,60,2,8,2-Thessalonians_2:8,"And then that iniquitous one shall be revealed, the one whom the Lord Jesus shall bring to ruin with the spirit of his mouth, and shall destroy at the brightness of his return:",176,"And then that iniquitous one shall be revealed, the one whom the Lord Jesus shall bring to ruin with the spirit of his mouth, and shall destroy at the brightness of his return: ",0,0.0,0,100
35359,NT,1-John,69,4,19,1-John_4:19,"Therefore, let us love God, for God first loved us.",51,"Therefore, let us love God, for God first loved us. ",0,0.0,0,99
35477,NT,Revelation,73,2,23,Revelation_2:23,"And I will put her sons to death, and all the Churches shall know that I am the one who examines temperaments and hearts. And I will give to each one of you according to your works. But I say to you,",199,"And I will put her sons to death, and all the Churches shall know that I am the one who examines temperaments and hearts. And I will give to each one of you according to your works. But I say to you, ",0,0.0,0,100
35785,NT,Revelation,73,20,9,Revelation_20:9,"And fire from God descended from heaven and devoured them. And the devil, who seduced them, was cast into the pool of fire and sulphur,",135,"And fire from God descended from heaven and devoured them. And the devil, who seduced them, was cast into the pool of fire and sulphur, ",0,0.0,0,100
